emoji,label,word_count,fit3_count,words
🐟️,fish,45,9,barracuda;fish;herring;mackerel;piranha;salmon;sardine;trout;tuna;albacore;anchovy;aquatic;carp;caviar;cod;fishy;flounder;gill;haddock;halibut;hatchery;kipper;lamprey;lox;marlin;minnow;mullet;perch;pickerel;roe;spawn;sprat;sturgeon;chum;flop;hake;isinglass;menhaden;scrod;shad;shoal;tarpon;turbot;ventral;whiting
👗,dress,45,4,dress;fashion;gown;skirt;attire;boutique;corset;dressy;elegant;fashionable;frock;negligee;nightie;outfit;overdress;petticoat;sari;sarong;style;stylish;wardrobe;bodice;chemise;chiffon;crinoline;dashiki;deb;debutante;decollete;diaphanous;dowdy;elegance;finery;getup;modish;muumuu;pinafore;pleat;strapless;transvestite;trousseau;trousseaux;tulle;underskirt;waist
😇,smiling face with halo,45,4,halo;heaven;innocent;saint;benevolent;conscience;conscientious;divine;divinity;heavenly;holy;innocence;martyr;moral;rapture;rapturous;righteous;sainthood;seraph;seraphic;virtue;virtuous;aureole;beatific;beatification;beatify;beatitude;benevolence;blameless;chaste;chastity;guileless;guiltless;holiness;impiety;ingenuous;moralist;moralistic;moralize;principled;probity;rectitude;sanctimonious;seraphim;unworldly
🦷,tooth,45,8,dental;dentist;fang;floss;molar;orthodontist;teeth;tooth;bicuspid;biting;bitten;cavity;chew;dentistry;denture;dentures;enamel;filling;fluoride;gingivitis;implant;incisor;orthodontic;orthodontics;overbite;plaque;retainer;rotten;teethe;toothless;toothy;tusk;canker;cankerous;caries;chewy;cuspid;dentin;fluoridate;fluoridation;gnaw;hygienist;periodontal;pyorrhea;tartar
🏰,castle,44,9,castle;citadel;dungeon;fort;fortress;kingdom;mansion;moat;palace;bastion;battlement;chateau;chateaux;domain;estate;feudal;feudalism;fortification;fortify;garrison;impregnable;manor;medieval;palatial;parapet;portcullis;principality;rampart;realm;siege;stately;turret;baronial;demesne;duchy;dukedom;fastness;fief;grand;grandeur;grandiose;manorial;mediaeval;serfdom
🎻,violin,44,5,cello;fiddle;instrument;orchestra;violin;cellist;classical;concerti;concerto;conservatory;dulcimer;ensemble;instrumental;instrumentalist;lute;mandolin;minstrel;orchestral;orchestrate;orchestration;philharmonic;quartet;viola;violinist;violist;virtuoso;zither;diddle;folk;folksy;instrumentality;instrumentation;pizzicato;quartette;quintet;rosin;schmaltz;schmaltzy;septet;sextet;strung;unstrung;virtuosi;virtuosity
😳,flushed face,43,2,awake;embarrass;abash;abashed;ashamed;awaken;awakening;awoke;bashful;chagrin;coy;embarrassment;gaffe;humiliate;humiliating;humiliation;mortify;pale;shame;shameful;sheepish;shy;strange;timid;awoken;diffidence;diffident;discomfit;discomfiture;disconcert;disconcerting;embarrassingly;exhibitionism;exhibitionist;faze;inglorious;mortification;prude;prudery;prudish;shied;timidity;undignified
➗️,divide,43,4,divide;division;math;mathematics;algebra;arithmetic;average;divisible;divisor;factor;fraction;mathematical;numerator;quotient;ratio;separate;split;subdivide;algebraic;apiece;apportion;apportionment;arithmetical;bipartite;bisection;calculus;cleft;divider;divisibility;divvy;fractional;median;miscalculate;miscalculation;miscount;partly;per;prorate;segment;segmentation;separable;separator;splitting
⚰️,coffin,43,10,burial;casket;cemetery;coffin;crypt;funeral;grave;sarcophagus;tomb;undertaker;bier;bury;coroner;cortege;deceased;demise;entomb;exhumation;exhume;funereal;inter;mausoleum;morgue;mortality;mortician;mortuary;postmortem;resurrect;resurrection;sarcophagi;sepulcher;catacomb;catafalque;decease;disinter;embalm;entombment;genocide;graven;interment;posthumous;predecease;sepulchral
🗑️,wastebasket,43,6,bin;delete;garbage;rubbish;trash;waste;clutter;debris;deletion;detritus;discard;disposable;disposal;dispose;dump;expunge;jettison;junk;litter;obsolete;purge;receptacle;scavenge;scrap;bunkum;dispensable;disuse;dross;dumps;expurgate;expurgation;inessential;junky;leavings;obsolescence;obsolescent;schlock;trashy;wastage;wasted;wasteful;wastrel;worthless
♾️,infinity,42,2,infinite;infinity;always;boundless;countless;endless;eternal;eternity;immortal;immortality;infinitude;limitless;numerous;permanent;perpetual;unlimited;abound;ageless;all;bisexual;bisexuality;ceaseless;deathless;ever;immeasurable;immortalize;imperishable;incalculable;incessant;measureless;myriad;numberless;permanence;perpetuate;perpetuation;perpetuity;unbounded;unceasing;unconditional;undying;unending;unremitting
🛋️,couch and lamp,42,7,couch;cushion;furniture;interior;recliner;settee;sofa;chaise;comfort;comfortable;comfy;cosy;cozy;den;divan;furnishings;lounge;nook;ottoman;overstuffed;padding;parlor;psychoanalysis;psychoanalyst;psychotherapist;psychotherapy;recline;reupholster;slacker;therapist;therapy;upholster;upholstery;alcove;davenport;ensconce;furnish;psychoanalyze;sectional;slob;sprawl;vegetate
😄,grinning face with smiling eyes,42,5,cheerful;delighted;joyful;joyous;overjoyed;amuse;amusing;cheery;chuckle;elated;elation;glee;gleeful;jollity;jolly;jovial;merry;playful;vivacious;witty;amusingly;boisterous;droll;ebullience;ebullient;effusive;elate;ha;hah;irrepressible;jocose;jocular;jocularity;jocund;joviality;levity;mirth;mirthful;vivacity;waggish;wit;witticism
🧊,ice,42,12,antarctic;arctic;cooler;cube;freezer;fridge;frozen;hail;ice;icicle;igloo;refrigerator;chill;congeal;coolant;cryogenics;cubic;defrost;floe;froze;glacial;paralysis;paralyze;permafrost;refrigerate;slippery;solidify;tofu;berg;chunk;condenser;cubical;deice;encrust;encrustation;incrustation;inure;paralyses;paralytic;refrigerant;rime;solidification
🖼️,framed picture,42,11,easel;exhibit;exhibition;frame;gallery;image;mosaic;mural;painting;picture;portrait;canvas;collage;curate;curator;decor;depict;depiction;icon;imagery;lithograph;panel;pictograph;pictorial;portraiture;rendering;diorama;emboss;fresco;frieze;hung;likeness;lithographic;molding;montage;overhung;rococo;superimpose;tableau;tableaux;triptych;vignette
🎖️,military medal,41,4,badge;colonel;military;sergeant;ambassador;cadet;commander;conscript;conscription;corporal;corps;distinction;epaulet;epaulette;general;insignia;lieutenant;major;patriot;patriotic;patriotism;platoon;regiment;serviceman;servicewoman;veteran;adjutant;ambassadorial;ambassadorship;commandant;commendation;draftee;echelon;enlistee;inductee;materiel;noncom;reenlist;regimental;regimentation;reservist
🏷️,label,41,5,discount;label;sale;sell;sticker;attribute;bargain;brand;categorize;category;classification;classify;clearance;designation;logo;nominal;resale;tag;title;appellation;attribution;attributive;categorical;categorization;characteristic;characterize;classifiable;decal;epithet;generic;marketability;marketable;misnomer;moniker;salable;saleable;sobriquet;stigma;stigmatize;titled;titular
🪵,wood,41,4,log;lumber;timber;wood;bog;mahogany;parquet;plank;pole;rafter;splinter;stake;stiff;stuck;stump;varnish;wooden;balsa;boggy;chock;creosote;flotsam;joist;laminate;laminated;lamination;lath;logrolling;paneling;planking;ply;slat;stiffen;stilted;stumpy;tenon;veneer;wainscot;wainscoting;wainscotting;woody
✊️,raised fist,40,2,fist;protest;activism;activist;clench;defiance;defiant;defy;fistful;grab;grasp;grip;militant;radical;rebel;rebellion;rebellious;resist;resistance;resistant;revolt;revolution;revolutionary;revolutionist;seize;snatch;solidarity;uprising;wring;abolitionist;adamant;counterculture;fascism;fascist;militancy;minority;protestation;radicalism;scrunch;wrest
🕳️,hole,40,5,abyss;cave;chasm;hole;tunnel;burrow;cavern;crevasse;crevice;ditch;eyelet;grotto;hollow;lair;nothingness;oblivion;perforate;perforation;pit;singularity;spelunker;subterranean;trench;cavernous;cranny;duct;entrench;entrenchment;lacuna;lacunae;mire;morass;niche;nihilism;nihilist;nihilistic;orifice;pock;sparse;weightless
🤷,person shrugging,40,1,shrug;agnostic;ambivalence;ambivalent;eh;inadvertent;irrelevant;maybe;noncommittal;pointless;undecided;agnosticism;balderdash;bosh;equivocal;equivocate;equivocation;foible;forgettable;futile;futility;ignoramus;inadvertence;inconsequential;indescribable;irrelevance;lief;meaningless;moot;nary;nonjudgmental;perhaps;quirk;regardless;snafu;suggestible;unintentional;unknowing;unpremeditated;unwitting
💃,woman dancing,40,2,dance;tango;choreography;conga;flamenco;flapper;glamorous;graceful;hula;jig;pirouette;polka;prom;rumba;showy;stripper;waltz;arabesque;bolero;cancan;cavort;choreograph;coquette;coquettish;gavotte;gypsy;harlot;hussy;jive;mazurka;minuet;polonaise;quadrille;sashay;shapely;shimmy;sprightly;spry;svelte;trollop
🍞,bread,40,6,bake;bread;loaf;loaves;toast;toaster;baker;bun;buns;crouton;crumb;crumble;dough;knead;matzo;ration;rations;roll;stale;subsistence;sustenance;yeast;carbohydrate;crumbly;crumby;crusty;doughy;larder;leaven;leavening;lump;lumpy;manna;pumpernickel;rusk;sop;starchy;subsist;unleavened;zwieback
🤥,lying face,40,4,dishonest;liar;lie;lying;bamboozle;credulous;deceit;deceitful;deceive;deception;deceptive;dishonesty;falsehood;falsification;falsify;falsity;fib;gullible;perjury;prevaricate;prevarication;untruth;untruthful;belie;besmirch;bilk;credulity;delude;disingenuous;finagle;gullibility;gyp;huckster;mendacious;mendacity;perjure;specious;spurious;toady;wangle
🚗,automobile,39,9,auto;automobile;car;drive;driver;engine;garage;sedan;vehicle;accelerator;automotive;bumper;chauffeur;convertible;coupe;dealership;dent;exhaust;fender;hearse;jalopy;motorcade;motorist;odometer;overdrive;passing;rally;ride;subcompact;traction;vehicular;careen;cavalcade;chassis;clunker;driven;loaner;rut;undercarriage
🏞️,national park,39,10,creek;lake;panorama;park;pond;ravine;reservoir;river;stream;valley;brook;cascade;expanse;habitat;loch;panoramic;picturesque;rivulet;scenery;scenic;surroundings;vale;vista;wilderness;alluvial;dale;dell;embankment;environs;expansive;far;glen;gulch;gully;inland;rill;shire;silt;upcountry
🔊,speaker high volume,39,6,amplifier;audio;noise;noisy;sound;speaker;amp;amplification;amplify;beep;blare;crescendo;decibel;din;echo;resonance;resonant;resonate;resound;resounding;reverberate;reverberation;volume;woofer;bleep;clack;clatter;deafen;mono;monophonic;phonic;resonator;sonic;sonorous;stentorian;stereophonic;strident;tweeter;undertone
🩺,stethoscope,39,8,diagnose;diagnosis;doctor;forceps;medical;nurse;physician;stethoscope;clinician;dermatologist;dermatology;diagnoses;diagnostic;diagnostician;dialysis;doc;gynecologist;medic;surgeon;angioplasty;cholesterol;cystic;dialyses;diastolic;duodenal;duodenum;embolism;endocrine;enema;epiglottis;gynecological;gynecology;internist;menopause;misdiagnose;practitioner;sclerosis;sclerotic;specialist
🧩,puzzle piece,39,3,puzzle;riddle;solve;autism;autistic;complex;complexity;complicated;complication;conundrum;fragment;intricate;logic;logical;misfit;mismatch;module;part;piece;solvable;unscramble;complicate;composite;comprise;consist;fragmentary;fragmentation;heterogeneity;heterogeneous;homogeneity;homogeneous;illogical;incongruity;incongruous;intricacy;paradigm;paradigmatic;rebus;syllogism
🗳️,ballot box with ballot,39,7,ballot;democracy;election;nomination;poll;referendum;vote;campaign;candidate;constituency;constituent;delegate;delegation;democrat;democratic;elect;nominate;nominee;plebiscite;pollster;reelect;reelection;suffrage;suffragette;candidacy;canvass;caucus;democratize;disenfranchise;disfranchise;electioneer;elector;electoral;electorate;enfranchise;enfranchisement;hustings;proxy;referenda
⛓️,chains,39,3,chain;shackle;slavery;bondage;captive;captivity;enslave;enslavement;fetter;hostage;incarcerate;incarceration;manacle;oppress;oppression;oppressive;punish;punishment;servitude;slave;steel;subjugate;subjugation;tether;clank;encumber;encumbrance;flagellation;freedman;gantlet;garrotte;hawser;ineluctable;inescapable;slaver;steely;subjection;thrall;trammel
🔒️,locked,39,4,lock;prison;safe;security;cage;classified;closure;confine;confinement;convict;exclusive;exclusivity;fasten;fastening;gaol;imprison;imprisonment;inmate;internment;jail;latch;prisoner;privacy;private;secure;confines;fixity;hasp;hermetic;inalienable;invariable;inviolability;inviolable;inviolate;lifer;pent;sequester;sequestration;unalterable
🤸,person cartwheeling,38,8,acrobat;contortionist;gymnast;gymnastics;jump;skip;somersault;trampoline;acrobatic;acrobatics;agile;agility;calisthenics;contort;contortion;dexterity;dexterous;dextrous;dodge;flexibility;flexible;gymnastic;nimble;pliable;trapeze;tumble;vaulting;aerialist;limber;lissom;lissome;lithe;pliability;pliancy;pliant;pratfall;sprang;supple
🚧,construction,38,5,barrier;fence;obstacle;obstruction;pylon;barricade;blockade;boundary;bounds;cordon;curb;enclosure;hinder;hindrance;impassable;impasse;impede;impediment;limit;obstruct;obstructive;palisade;partition;picket;railing;stymie;unfinished;astray;impinge;impingement;limitation;limited;mislead;misled;obstructionist;paling;stile;stockade
😬,grimacing face,38,4,awkward;cringe;grimace;oops;flinch;hesitancy;hesitant;hesitate;hesitation;jaw;jitters;jittery;jumpy;nerve;nervy;predicament;reluctance;reluctant;suspense;suspenseful;tense;tension;wince;bated;careless;contretemps;edgy;flub;gauche;gnash;jowl;overcautious;peccadillo;remiss;restive;scratchy;tactless;tic
❗️,red exclamation mark,37,1,exclamation;crucial;demand;exception;exclaim;exclamatory;imperative;importance;important;mandatory;necessity;need;obligation;priority;problem;punctuation;accentuate;accentuation;actually;arrant;atypical;expressly;momentous;must;necessitate;needful;needs;obligate;obligatory;occur;occurrence;onus;pronounced;punctuate;require;significance;significant
🧍,person standing,37,2,body;mannequin;alone;individual;inhabitant;nude;nudity;posture;queue;solitary;solitude;solo;stand;standing;stay;being;bodily;embodiment;embody;individualism;individualist;individualistic;individuality;individualize;manikin;manned;mannikin;midget;nape;nudism;nudist;pigmy;pygmy;slouch;stance;stood;waif
👔,necktie,37,3,suit;tie;uniform;ascot;boss;chairman;chairwoman;chancellor;commissioner;cravat;cuff;employee;fitting;minister;mister;natty;preppie;preppy;presentable;subordinate;superintendent;suspenders;bossy;chairmanship;chairperson;chamberlain;clothier;commissar;cummerbund;dickey;dicky;haberdasher;haberdashery;ministerial;proper;superintend;superintendence
🏥,hospital,36,3,clinic;hospital;surgery;asylum;clinical;infirmary;pathologist;pathology;physiotherapist;physiotherapy;rehab;rehabilitate;rehabilitation;sanatorium;sanitarium;triage;ward;abortionist;appendectomy;appendicitis;caesarean;cesarean;hernia;hospitalization;hospitalize;hysterectomy;mastectomy;palsy;pathological;pellagra;peritonitis;prostate;remission;shingles;tonsillectomy;tonsillitis
🏫,school,36,3,academy;preschool;school;campus;class;elementary;kindergarten;mentor;principal;professor;recess;referee;schooling;seminar;teacher;adviser;advisor;aide;governess;instructor;intramural;pedagogic;pedagogical;pedagogue;pedagogy;polytechnic;prefect;prof;professorial;professorship;ref;schoolmarm;ump;umpire;underclass;underclassman
⚓️,anchor,36,5,admiral;anchor;dock;harbor;nautical;ahoy;anchorage;ballast;captain;commodore;marine;mariner;maritime;moor;mooring;naval;navy;port;quay;sank;skipper;wharf;admiralty;aweigh;bosun;capstan;captaincy;davit;debark;debarkation;dredge;grapnel;longshoreman;midshipman;stevedore;wharves
😨,fearful face,36,3,afraid;fear;fearful;consternation;cower;creep;dread;intimidate;intimidation;paranoia;paranoid;skittish;tremble;unnerving;unsettling;ashen;atrocious;atrocity;blench;craven;dreadful;gutless;milksop;molest;molestation;nerveless;pusillanimity;pusillanimous;sissy;spineless;timorous;tremulous;trepidation;unnerve;wimp;wimpy
🏢,office building,36,3,apartment;building;office;agency;barracks;company;condo;condominium;conglomerate;corporate;corporation;department;enterprise;facility;hierarchy;incorporate;incorporated;loft;organization;penitentiary;storey;subsidiary;tenement;annex;annexation;bureau;bureaux;conglomeration;coworker;departmental;hierarchical;incorporation;mezzanine;organizational;secretariat;slammer
🚢,ship,36,3,ark;ship;submarine;aground;armada;colonist;cruiser;disembark;disembarkation;embark;fleet;freighter;frigate;galleon;galley;helm;hull;liner;merchantman;overboard;steamship;supertanker;tanker;titanic;trawler;tug;vessel;amidships;bilge;brig;embarkation;helmsman;sinkable;steerage;wardroom;whaler
🗿,moai,36,5,colossus;obelisk;sculptor;sculpture;statue;carving;colossal;colossi;figurine;gargoyle;hieroglyphic;immobile;immovable;inanimate;monolith;motionless;obdurate;obstinate;sculpt;sculptural;sphinx;statuesque;statuette;totem;alabaster;anthropological;immobility;immobilization;immobilize;immutability;immutable;monolithic;obduracy;obstinacy;petrifaction;statuary
🔫,water pistol,36,7,gun;musket;pistol;revolver;rifle;trigger;weapon;ammo;ammunition;armament;armed;arms;arsenal;bullet;criminal;derringer;disarm;discharge;holster;mobster;rifleman;semiautomatic;shoot;shot;weaponry;bandoleer;bandolier;blunderbuss;caliber;carbine;dumdum;gunner;gunnery;misfire;rearm;rearmament
🌈,rainbow,36,4,colorful;diversity;iridescent;spectrum;arc;diverse;diversify;iridescence;kaleidoscopic;multicolored;prismatic;psychedelic;refract;refraction;variegated;variety;vibrant;vivid;chromatic;diffraction;diversification;flamboyant;gamut;garish;gay;homosexual;homosexuality;interracial;lesbian;lesbianism;moire;motley;mottled;multiracial;queer;spectra
🍬,candy,36,2,candy;sugar;assortment;bonbon;confection;confectioner;confectionery;glucose;gum;gummy;licorice;marzipan;nougat;saccharine;sucrose;sugary;sweet;sweeten;sweetener;taffy;toffee;toffy;treat;aspartame;candied;chicle;cloy;dextrose;fructose;goodie;goody;jujube;praline;saccharin;sweetish;tidbit
⛵️,sailboat,35,8,marina;regatta;rudder;sail;sailing;sailor;yacht;yachting;catamaran;crewman;dinghy;flotilla;mast;prow;rigging;schooner;seaman;sloop;trimaran;yachtsman;yawl;abaft;aft;astern;bowsprit;brigantine;halyard;hove;jib;keel;ketch;larboard;mizzenmast;seamanship;spinnaker
🍺,beer mug,35,6,alcohol;ale;beer;inebriated;pub;tavern;alcoholic;alcoholism;bar;brewery;drank;drunk;inebriate;inebriation;lager;malt;pint;quaff;saloon;stein;stout;swig;tankard;bung;chug;cirrhosis;dipsomania;dipsomaniac;drunkard;drunken;grog;sot;souse;swill;yeasty
🔬,microscope,35,4,microscope;research;science;scientist;analyses;analysis;biologist;forensic;microbiologist;microbiology;microscopic;microscopy;physicist;physics;probe;scientific;spectroscope;spectroscopy;cytology;cytoplasm;embryologist;embryology;empirical;empiricism;infinitesimal;interstice;microsurgery;miniature;miniaturization;miniaturize;pore;spectroscopic;vivisection;zoologist;zoology
😞,disappointed face,34,4,dejected;disappointed;disappointment;miserable;bummer;cheerless;dejection;disappoint;disappointing;disenchanted;disillusioned;gloomy;glum;hopeless;joyless;lose;misery;abject;abysmal;demoralization;demoralize;demoralizing;deplorable;deplore;disappointingly;disenchant;disenchantment;dishearten;disillusion;disillusionment;lamentable;languish;powerless;privation
🐍,snake,34,8,adder;anaconda;boa;cobra;constrictor;python;serpent;snake;asp;constrict;constriction;eel;hiss;hydra;meander;molt;rattler;scaly;serpentine;slither;slithery;snaky;venom;venomous;viper;constrictive;insidious;moult;perfidious;perfidy;sibilant;slough;treacherous;treachery
📰,newspaper,34,3,journalism;magazine;news;article;bulletin;coverage;disinformation;editorial;feature;gazette;issue;journalist;media;newsy;notoriety;obituary;periodical;publication;scandal;subheading;tabloid;editorialize;features;journalese;journalistic;libel;libellous;libelous;reportage;scandalize;scandalous;sensationalism;sensationalist;tidings
🎬️,clapper board,33,5,cinema;director;film;movie;premiere;action;begin;beginning;cinematic;climax;debut;escapism;escapist;intro;matinee;multiplex;producer;scene;sequel;studio;stunt;thriller;began;begun;cameo;climactic;denouement;directorate;directorship;flick;prop;recast;showing
🧑,person,33,4,adult;human;person;teenager;adolescent;chin;citizen;civilian;fellow;guy;teen;teenage;adolescence;adulthood;citizenry;commoner;gringo;humanism;humanist;humanistic;humanization;humanize;humanly;owner;personage;personal;personally;puberty;pubescence;pubescent;swain;teenaged;teens
🌫️,fog,33,6,fog;foggy;haze;hazy;mist;misty;atmospheric;bleak;blurry;dust;dusty;indistinct;murky;nebulous;obfuscate;obfuscation;obscure;obscurity;opacity;opaque;ozone;pervade;pervasive;smog;smoggy;ambient;amorphous;ashy;emanate;emanation;mote;murk;turbid
🎲,game die,33,4,backgammon;dice;gamble;gambling;arbitrary;chance;chancy;coincidence;craps;domino;odds;probability;random;risk;risky;unpredictable;wager;caster;coincident;coincidental;haphazard;happen;indiscriminate;mischance;parlay;perchance;probable;spontaneity;spontaneous;sporadic;tiddlywinks;vagary;whim
🍷,wine glass,33,1,wine;bacchanalian;cellar;claret;connoisseur;decant;ferment;fermentation;goblet;imbibe;intoxicate;intoxication;sherry;vermouth;debauch;debauchery;dissolute;epicure;epicurean;hedonism;hedonist;hedonistic;intemperance;intemperate;intoxicant;lees;libation;muscatel;stave;staves;tannin;vintner;wino
🤫,shushing face,33,6,quiet;secret;sh;shush;silence;whisper;confidant;confidante;confide;confidential;confidentiality;conspire;discreet;discretion;hush;mum;murmur;secrecy;secretive;silent;cabal;connive;discretionary;implicit;indiscretion;insinuate;insinuation;quietude;ulterior;underhand;underhanded;unmentionable;unobtrusive
➖️,minus,33,3,minus;subtract;subtraction;dash;deduct;deduction;hyphen;insufficient;line;minimize;negate;negation;negative;remove;strip;underscore;deductible;detract;detraction;hyphenate;hyphenation;incomplete;insufficiency;least;less;linear;macron;minimal;minimalism;minimalist;minuend;plain;sans
🏚️,derelict house,32,4,barn;basement;ruins;shack;abandoned;abandonment;derelict;dilapidated;dilapidation;disrepair;ghetto;homeless;ramshackle;ruin;ruination;ruinous;shanty;shed;slum;subbasement;uninhabited;vagrant;asbestos;austere;brothel;dereliction;dingy;dispossess;dispossession;gulag;squatter;vagrancy
🙇,person bowing,32,0,curtsey;curtsy;humble;humility;idolatry;kowtow;obeisance;obsequious;subservience;subservient;acquiesce;acquiescence;acquiescent;deference;deferential;deign;genuflect;grovel;idolater;idolatrous;ingratiate;ingratiating;lackey;lowly;pander;panderer;relent;servile;servility;slavish;sycophant;sycophantic
🎼,musical score,32,6,clef;composer;conductor;harp;symphony;xylophone;bard;compose;composition;conduct;harpist;libretto;lyre;maestro;octave;opus;overture;requiem;symphonic;tempo;adagio;allegro;baroque;fugue;libretti;librettist;musicologist;musicology;octet;oratorio;tempi;troubadour
🧱,brick,32,6,block;brick;cement;concrete;masonry;wall;adobe;cobble;dike;floor;ingot;mantel;mason;mortar;paving;putty;rubble;slab;solid;tiling;basis;bulwark;filler;flooring;fundamental;grout;hod;kaolin;modular;solidity;stucco;unwieldy
🕯️,candle,32,2,candle;vigil;candelabra;candelabrum;commemorate;condolence;cult;flicker;incense;memorial;paraffin;remembrance;rite;ritual;ritualism;sconce;taper;votive;wax;wick;ambiance;ambience;beeswax;chandler;commemoration;commemorative;frankincense;memorialize;myrrh;tallow;waxen;waxy
😟,worried face,32,1,worry;angst;apprehension;apprehensive;concern;concerned;dismay;disquiet;distress;disturbed;disturbing;fret;insecure;insecurity;misgiving;perturb;perturbation;plight;preoccupied;trouble;uneasy;unsettled;worrisome;distressful;fretful;inquietude;maladjusted;maladjustment;preoccupation;preoccupy;qualm;unsettle
🐛,bug,32,12,bug;caterpillar;centipede;cocoon;crawl;infestation;insect;larva;larvae;maggot;millipede;pest;chrysalis;debug;defect;glitch;grub;infest;insecticide;larval;nit;pupa;pupae;weevil;aphid;chigger;defective;fumigate;fumigation;insectivore;insectivorous;pupal
🗡️,dagger,32,7,assassin;blade;cutlass;dagger;lance;rapier;samurai;assassinate;assassination;betray;betrayal;brandish;dirk;hilt;impale;sheath;traitor;treason;assailant;halberd;lancer;poniard;regicide;rogue;sheathe;sheathing;swashbuckler;traitorous;treasonable;treasonous;trenchant;wield
🟤,brown circle,32,3,brown;dirty;mud;auburn;beige;dirt;freckle;maroon;muddy;sludge;stain;umber;brownish;granular;granulate;granulation;granule;gunk;loam;loamy;melanin;muck;mucky;mudslinging;ocher;ochre;peat;subsoil;sully;swarthy;taupe;tawny
😩,weary face,32,4,exhausted;exhaustion;groan;ugh;exhausting;hassle;moan;onerous;unbearable;weak;weakness;wretched;beaten;bedraggled;beleaguer;bemoan;drudge;drudgery;feckless;frazzle;grueling;haggard;jeremiad;overdid;overdo;taxing;tiresome;unendurable;unrelieved;weaken;weakling;wretch
🧹,broom,32,9,broom;duster;erase;eraser;maid;mop;rake;sweep;vacuum;chore;chores;custodian;erasure;janitor;mess;messy;swab;sweeping;tidy;unclean;untidy;charwoman;crud;cruddy;custodial;menial;servant;slattern;sloven;slovenly;swept;unkempt
💀,skull,32,7,corpse;dead;death;die;reaper;skeleton;skull;cadaver;carcass;crania;cranium;doom;dying;fatal;fatality;grisly;lifeless;macabre;morbid;mortal;necromancy;overkill;perish;remains;skeletal;cadaverous;carrion;deathlike;deathly;goner;morbidity;moribund
✏️,pencil,32,4,draw;edit;pencil;sketch;correction;design;designer;doodle;drawn;drew;etch;etching;graphite;jot;rename;revise;revision;reword;rewrite;rewritten;rewrote;scrawl;scribble;sharpen;tracing;circumscribe;corrective;designing;emend;emendation;marking;rephrase
💦,sweat droplets,32,7,perspiration;perspire;spill;splash;spray;sweat;sweaty;gush;humid;humidity;piss;profuse;soak;sodden;soggy;sopping;spatter;spilt;splashy;splatter;squirt;effusion;exude;gusher;gushy;humidify;profusion;semen;slosh;soppy;spittle;spurt
🚀,rocket,31,5,bazooka;launch;missile;rocket;space;advanced;aerospace;astronaut;astronautics;ballistic;boost;cosmonaut;deploy;futuristic;impetus;initiate;initiative;momentum;projectile;propel;propellant;propellent;propulsion;reentry;retrorocket;rocketry;torpedo;deployment;initiation;propulsive;venture
⚛️,atom symbol,31,6,atom;atomic;neutron;nucleus;proton;reactor;electron;element;fusion;ion;isotope;matter;neutrino;nuclei;particle;quantum;quark;relativity;subatomic;antiparticle;argon;biophysics;curie;cyclotron;elemental;ionization;ionize;positron;quanta;strontium;valence
☠️,skull and crossbones,31,5,crossbones;pirate;poison;poisonous;toxic;arsenic;bane;buccaneer;corsair;cyanide;deadly;kill;lethal;noxious;pestilence;piracy;piratical;privateer;toxicity;toxin;baneful;brigand;carcinogen;carcinogenic;deleterious;dioxin;freebooter;killing;pernicious;pestilent;strychnine
🌟,glowing star,31,3,extraordinary;fame;famous;celebrity;fantastic;gifted;glorious;glory;idol;luminary;magnificent;prodigy;promising;renown;renowned;stardom;superstar;talent;unique;unusual;be;celebrated;glorified;illustrious;lionize;magnificence;memorable;starlet;uncommon;unparalleled;unprecedented
🏗️,building construction,31,5,construction;crane;scaffold;scaffolding;structure;build;construct;constructive;derrick;foundation;gantry;girder;infrastructure;rebuild;reconstruct;reconstruction;built;deconstruction;modernization;modernize;prefab;prefabricate;prefabrication;rebuilt;redevelop;redevelopment;restructure;structural;substructure;superstructure;underpinning
🔓️,unlocked,30,2,open;unlock;access;decode;detach;detachable;detached;detachment;loosen;parole;pry;reopen;unbolt;unbound;unbuckle;uncover;unfasten;unhook;unleash;declassify;parolee;unbar;unclasp;unfettered;unhitch;unlace;unlatch;unloose;unseal;unstop
🥚,egg,30,5,egg;incubate;incubator;oval;yolk;albumen;cracked;ellipse;fragile;incubation;ova;ovarian;ovary;ovoid;ovum;testes;testicle;testis;albumin;breakable;ellipses;elliptic;elliptical;fragility;oviduct;oviparous;ovulate;ovulation;ovule;zygote
🎶,musical notes,30,3,flute;harmony;oboe;aria;bagpipes;bassoon;carol;duet;flutist;groove;harmonious;harmonize;maraca;marimba;oboist;ocarina;phonograph;piccolo;tambourine;discord;discordant;disharmony;dissonance;dissonant;flautist;fortissimo;groovy;harmonic;harmonization;paean
🍳,cooking,30,11,chef;cook;cooking;fry;hibachi;kitchen;omelet;omelette;pan;sizzle;skillet;batter;boil;broil;cookery;culinary;fried;fryer;griddle;kitchenette;nonstick;poach;prepare;saute;scramble;baste;blanch;broiler;trivet;underdone
🍲,pot of food,30,4,cauldron;consomme;soup;stew;bisque;borscht;bouillabaisse;bouillon;braise;broth;casserole;chowder;crock;fricassee;goulash;gravy;gumbo;minestrone;nourish;nourishment;parboil;pot;sukiyaki;thicken;tureen;caldron;creole;potful;slop;soupy
